reg_no,dob,name,result,subjects
82221040001,01/01/2000,Student 1,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040002,01/01/2000,Student 2,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040003,01/01/2000,Student 3,FAIL,"{""CS101"":""U"",""CS102"":""B""}"
82221040004,01/01/2000,Student 4,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040005,01/01/2000,Student 5,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040006,01/01/2000,Student 6,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040007,01/01/2000,Student 7,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040008,01/01/2000,Student 8,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040009,01/01/2000,Student 9,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040010,01/01/2000,Student 10,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040011,01/01/2000,Student 11,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040012,01/01/2000,Student 12,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040013,01/01/2000,Student 13,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040014,01/01/2000,Student 14,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040015,01/01/2000,Student 15,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040016,01/01/2000,Student 16,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040017,01/01/2000,Student 17,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040018,01/01/2000,Student 18,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040019,01/01/2000,Student 19,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040020,01/01/2000,Student 20,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040021,01/01/2000,Student 21,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040022,01/01/2000,Student 22,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040023,01/01/2000,Student 23,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040024,01/01/2000,Student 24,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040025,01/01/2000,Student 25,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040026,01/01/2000,Student 26,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040027,01/01/2000,Student 27,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040028,01/01/2000,Student 28,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040029,01/01/2000,Student 29,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040030,01/01/2000,Student 30,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040031,01/01/2000,Student 31,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040032,01/01/2000,Student 32,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040033,01/01/2000,Student 33,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040034,01/01/2000,Student 34,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040035,01/01/2000,Student 35,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040036,01/01/2000,Student 36,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040037,01/01/2000,Student 37,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040038,01/01/2000,Student 38,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040039,01/01/2000,Student 39,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040040,01/01/2000,Student 40,PASS,"{""CS101"":""A"",""CS102"":""B""}"
